omb/lG2 lG YHe yhe

0.01316 0.75 0.1917 0.1914
0.01352 0.75 0.192 0.1917
0.01389 0.75 0.1923 0.192
0.01425 0.75 0.1925 0.1923
0.01462 0.75 0.1928 0.1926
0.01498 0.75 0.193 0.1928
0.01535 0.75 0.1933 0.1931
0.01571 0.75 0.1935 0.1933
0.01608 0.75 0.1938 0.1936
0.01644 0.75 0.194 0.1938
0.01681 0.75 0.1942 0.194
0.01717 0.75 0.1945 0.1942
0.01754 0.75 0.1947 0.1945
0.01791 0.75 0.1949 0.1947
0.01827 0.75 0.1951 0.1949
0.01864 0.75 0.1953 0.1951
0.019 0.75 0.1955 0.1953
0.01937 0.75 0.1956 0.1955
0.01973 0.75 0.1958 0.1957
0.0201 0.75 0.196 0.1958
0.02046 0.75 0.1962 0.196
0.02083 0.75 0.1964 0.1962
0.02119 0.75 0.1966 0.1964
0.02156 0.75 0.1967 0.1966
0.02192 0.75 0.1969 0.1967
0.02229 0.75 0.197 0.1969
0.02266 0.75 0.1972 0.1971
0.02302 0.75 0.1974 0.1972
0.02339 0.75 0.1975 0.1974
0.02375 0.75 0.1977 0.1975
0.02412 0.75 0.1978 0.1977
0.02448 0.75 0.1979 0.1978
0.02485 0.75 0.1981 0.198
0.02521 0.75 0.1982 0.1981
0.02558 0.75 0.1984 0.1983
0.02594 0.75 0.1985 0.1984
0.02631 0.75 0.1987 0.1985
0.02667 0.75 0.1988 0.1987
0.02704 0.75 0.1989 0.1988
0.02741 0.75 0.199 0.1989
0.02777 0.75 0.1992 0.1991
0.02814 0.75 0.1993 0.1992
0.0285 0.75 0.1994 0.1993
0.02887 0.75 0.1996 0.1994
0.02923 0.75 0.1997 0.1996
0.0296 0.75 0.1998 0.1997
0.02996 0.75 0.1999 0.1998
0.03033 0.75 0.2 0.1999
0.03069 0.75 0.2001 0.2
0.01315 0.8 0.2027 0.2024
0.01352 0.8 0.203 0.2027
0.01389 0.8 0.2033 0.203
0.01425 0.8 0.2035 0.2033
0.01462 0.8 0.2038 0.2035
0.01498 0.8 0.2041 0.2038
0.01535 0.8 0.2043 0.2041
0.01571 0.8 0.2046 0.2043
0.01608 0.8 0.2048 0.2046
0.01644 0.8 0.205 0.2048
0.01681 0.8 0.2052 0.205
0.01717 0.8 0.2055 0.2052
0.01754 0.8 0.2057 0.2055
0.0179 0.8 0.2059 0.2057
0.01827 0.8 0.2061 0.2059
0.01863 0.8 0.2063 0.2061
0.019 0.8 0.2065 0.2063
0.01937 0.8 0.2067 0.2065
0.01973 0.8 0.2069 0.2067
0.0201 0.8 0.207 0.2069
0.02046 0.8 0.2072 0.207
0.02083 0.8 0.2074 0.2072
0.02119 0.8 0.2076 0.2074
0.02156 0.8 0.2077 0.2076
0.02192 0.8 0.2079 0.2077
0.02229 0.8 0.2081 0.2079
0.02265 0.8 0.2082 0.2081
0.02302 0.8 0.2084 0.2082
0.02338 0.8 0.2085 0.2084
0.02375 0.8 0.2087 0.2085
0.02412 0.8 0.2088 0.2087
0.02448 0.8 0.209 0.2088
